value,timestamp
1504,
1392,
1488,
1456,
1424,
1456,
1488,191.594372611
1472,
1376,
1440,
1472,
1488,
1456,
1472,
1488,
1472,
1424,
1504,
1520,
1440,
1472,
1440,
1472,
1488,
1360,
1488,
1440,
1456,
1472,
1456,
1504,
1440,
1472,
1456,
1456,
1504,
1488,191.623954996
1456,
1504,
1424,
1488,
1504,
1424,
1456,
1504,
1488,
1504,
1472,
1472,
1504,
1504,
1440,
1472,
1440,
1504,
1488,
1456,
1360,
1504,
1440,
1488,
1440,
1472,
1488,
1488,
1440,
1472,191.654279991
1504,
1520,
1488,
1488,
1472,
1360,
1488,
1504,
1520,
1472,
1488,
1456,
1520,
1488,
1424,
1440,
1472,
1360,
1440,
1456,
1472,
1488,
1488,
1504,
1376,
1504,
1440,
1520,
1488,
1472,191.68387813
1456,
1456,
1440,
1488,
1488,
1392,
1424,
1472,
1456,
1344,
1504,
1504,
1440,
1472,
1392,
1488,
1472,
1488,
1488,
1472,
1424,
1456,
1488,
1456,
1360,
1456,
1488,
1472,
1504,
1456,191.71432037
1488,
1392,
1472,
1424,
1504,
1472,
1440,
1488,
1504,
1344,
1456,
1504,
1440,
1504,
1456,
1440,
1456,
1376,
1472,
1488,
1456,
1504,
1488,
1456,
1440,
1424,
1488,
1472,
1472,
1456,191.74447739
1488,
1488,
1360,
1456,
1488,
1456,
1472,
1472,
1520,
1424,
1456,
1472,
1472,
1472,
1360,
1472,
1488,
1456,
1440,
1456,
1408,
1408,
1456,
1520,
1440,
1472,
1488,
1488,
1456,
1456,
1456,191.774305046
1488,
1472,
1488,
1488,
1488,
1440,
1488,
1504,
1504,
1344,
1488,
1488,
1408,
1424,
1472,
1472,
1456,
1488,
1488,
1472,
1440,
1408,
1472,
1456,
1488,
1472,
1520,
1408,
1424,191.803702669
1488,
1472,
1376,
1504,
1504,
1488,
1456,
1488,
1504,
1392,
1488,
1472,
1472,
1472,
1376,
1440,
1472,
1344,
1472,
1440,
1472,
1488,
1472,
1472,
1488,
1392,
1488,
1456,
1440,
1472,
1456,191.83363451
1456,
1440,
1488,
1488,
1456,
1440,
1472,
1504,
1456,
1472,
1504,
1456,
1440,
1456,
1456,
1440,
1472,
1440,
1488,
1488,
1424,
1504,
1440,
1472,
1488,
1504,
1504,
1408,
1408,191.86394955
1488,
1456,
1472,
1472,
1456,
1488,
1360,
1472,
1472,
1456,
1440,
1472,
1456,
1488,
1504,
1424,
1440,
1488,
1488,
1440,
1488,
1360,
1520,
1520,
1472,
1456,
1520,
1456,
1488,
1456,191.909569201
1488,
1504,
1472,
1456,
1456,
1504,
1392,
1488,
1472,
1488,
1440,
1440,
1424,
1504,
1472,
1456,
1488,
1472,
1504,
1456,
1488,
1408,
1488,
1456,
1520,
1392,
1488,
1472,
1488,
1456,
1456,
1504,
1472,
1456,
1520,
1488,
1440,
1520,
1456,
1520,
1376,
1504,
1456,
1408,
1472,191.939309202
1376,
1456,
1472,
1472,
1488,
1472,
1456,
1456,
1472,
1520,
1520,
1488,
1440,
1408,
1376,
1472,
1488,
1456,
1440,
1488,
1488,
1456,
1472,
1520,
1424,
1424,
1504,
1456,
1440,
1472,191.969299923
1440,
1488,
1488,
1424,
1456,
1376,
1472,
1488,
1392,
1488,
1424,
1440,
1440,
1472,
1488,
1488,
1440,
1472,
1440,
1504,
1488,
1456,
1488,
1472,
1488,
1456,
1520,
1456,
1472,
1440,191.9991384
1456,
1456,
1440,
1456,
1504,
1376,
1472,
1472,
1504,
1488,
1488,
1408,
1504,
1520,
1440,
1456,
1504,
1504,
1440,
1488,
1472,
1488,
1472,
1504,
1472,
1456,
1488,
1504,
1456,
1504,192.029334368
1392,
1408,
1440,
1520,
1504,
1456,
1488,
1424,
1488,
1472,
1392,
1472,
1472,
1440,
1456,
1472,
1488,
1472,
1424,
1456,
1440,
1488,
1488,
1488,
1456,
1488,
