value,timestamp
1280,
1328,
1328,
1280,
1328,
1264,
1248,
1296,
1296,
1248,
1280,
1232,
1232,
1200,
1296,
1312,364.654823148
1232,
1360,
1328,
1248,
1248,
1392,
1280,
1216,
1296,
1264,
1264,
1264,
1232,
1232,
1216,
1296,
1296,
1296,
1360,
1280,
1344,
1264,
1328,
1216,
1280,
1296,
1232,
1248,
1264,
1200,364.684321109
1232,
1280,
1296,
1280,
1264,
1360,
1296,
1248,
1344,
1248,
1344,
1280,
1296,
1232,
1232,
1216,
1200,
1248,
1232,
1296,
1264,
1264,
1344,
1360,
1296,
1280,
1232,
1232,
1312,
1328,364.715159014
1280,
1280,
1280,
1248,
1248,
1232,
1312,
1248,
1232,
1344,
1360,
1264,
1360,
1280,
1280,
1264,
1280,
1264,
1264,
1232,
1216,
1328,
1296,
1280,
1264,
1296,
1344,
1376,
1376,
1280,364.745239042
1312,
1264,
1248,
1280,
1312,
1232,
1216,
1264,
1232,
1328,
1296,
1296,
1360,
1344,
1344,
1360,
1376,
1328,
1344,
1296,
1232,
1248,
1312,
1248,
1312,
1328,
1296,
1296,
1360,
1360,364.775207182
1296,
1296,
1264,
1344,
1264,
1296,
1280,
1280,
1280,
1264,
1296,
1280,
1264,
1328,
1296,
1296,
1280,
1344,
1264,
1328,
1360,
1232,
1328,
1296,
1264,
1248,
1296,
1248,
1280,364.804919288
1280,
1296,
1264,
1296,
1264,
1360,
1264,
1264,
1280,
1296,
1264,
1312,
1328,
1264,
1248,
1296,
1296,
1264,
1312,
1296,
1376,
1360,
1312,
1344,
1248,
1360,
1360,
1328,
1312,
1264,
1280,364.835319132
1312,
1264,
1328,
1328,
1296,
1312,
1264,
1344,
1344,
1376,
1264,
1296,
1264,
1264,
1280,
1280,
1312,
1248,
1344,
1328,
1328,
1376,
1360,
1328,
1296,
1280,
1312,
1248,
1344,
1344,364.865224905
1312,
1280,
1264,
1360,
1296,
1296,
1360,
1312,
1360,
1344,
1264,
1344,
1280,
1296,
1344,
1296,
1296,
1296,
1328,
1296,
1264,
1264,
1344,
1280,
1296,
1328,
1296,
1376,
1280,
1376,364.895176948
1344,
1280,
1312,
1360,
1280,
1280,
1248,
1312,
1248,
1344,
1264,
1296,
1360,
1312,
1328,
1360,
1344,
1344,
1296,
1360,
1360,
1296,
1296,
1280,
1264,
1280,
1312,
1312,
1376,
1328,364.92527401
1280,
1312,
1280,
1344,
1328,
1312,
1360,
1344,
1264,
1296,
1264,
1264,
1312,
1312,
1328,
1280,
1360,
1328,
1280,
1296,
1328,
1376,
1360,
1296,
1264,
1280,
1264,
1280,
1296,
1296,364.955205405
1296,
1376,
1296,
1360,
1296,
1312,
1376,
1344,
1280,
1280,
1280,
1280,
1312,
1360,
1296,
1328,
1296,
1328,
1280,
1360,
1392,
1376,
1248,
1232,
1280,
1328,
1264,
1328,
1280,
1296,364.985281395
1296,
1264,
1264,
1296,
1312,
1392,
1360,
1280,
1328,
1344,
1328,
1296,
1312,
1280,
1344,
1296,
1280,
1264,
1248,
1360,
1312,
1280,
1280,
1376,
1392,
1344,
1296,
1312,
1296,365.015149327
1280,
1312,
1360,
1264,
1280,
1296,
1296,
1328,
1312,
1344,
1344,
1328,
1312,
1344,
1280,
1280,
1296,
1312,
1312,
1264,
1344,
1280,
1280,
1344,
1328,
1312,
1392,
1280,
1328,
1296,
1280,365.045239919
1264,
1328,
1312,
1296,
1296,
1264,
1280,
1280,
1296,
1264,
1328,
1312,
1392,
1344,
1360,
1328,
1280,
1264,
1280,
1360,
1296,
1344,
1264,
1360,
1248,
1280,
1344,
1280,
1344,
1360,365.074877775
1296,
1344,
1296,
1296,
1264,
1344,
1360,
1264,
1344,
1296,
1296,
1264,
1264,
1344,
1328,
1312,
1328,
1376,
1312,
1344,
1296,
1280,
1264,
1376,
1280,
1280,
1280,
1296,
1376,
1264,365.104585061
1296,
1312,
1376,
1392,
1312,
1280,
1392,
1344,
1328,
1328,
1312,
1280,
1280,
1296,
1344,
1280,
1312,
1296,
1360,
1296,
1296,
1312,
1296,
1312,
1312,
1312,
1360,
1296,
1280,
1280,365.135175263
1280,
1264,
1312,
1328,
1296,
1328,
1360,
1392,
1312,
1328,
1280,
1344,
1328,
1280,
1328,
1296,
1296,
1264,
1296,
1312,
1296,
1312,
1312,
1296,
1264,
1312,
1296,
1296,
1312,
1296,365.165116092
1296,
1280,
1248,
1264,
1264,
1248,
1264,
1312,
1280,
1344,
1392,
1264,
1344,
1280,
1280,
1280,
1328,
1296,
1264,
1264,
1248,
1248,
1264,
1264,
1296,
1344,
1376,
1248,
1312,
1296,365.195187187
1264,
1296,
1312,
1312,
1328,
1264,
1216,
1248,
1296,
1328,
1344,
1232,
1344,
1312,
1360,
1312,
1344,
1264,
1328,
1280,
1280,
1232,
1280,
1264,
1216,
1232,
1248,
1264,
1312,
1360,365.224908196
1376,
1360,
1296,
1376,
1264,
1312,
1296,
1248,
1232,
1248,
1248,
1216,
1264,
1296,
1280,
1360,
1360,
1328,
1280,
1280,
1296,
1264,
1264,
1248,
1264,
1248,
1232,
1248,
1280,365.255457544
1264,
1280,
1232,
1280,
1360,
1328,
1296,
1200,
1360,
1248,
1296,
1264,
1232,
1216,
1216,
1264,
1280,
1232,
1264,
1264,
1264,
1232,
1296,
1360,
1232,
1280,
1248,
1280,
1232,
1280,365.284867237
1232,
1232,
1248,
1280,
1248,
1248,
1232,
1312,
1296,
1232,
1328,
1232,
1232,
1328,
1280,
1296,
1200,
1312,
1248,
1232,
1216,
1264,
1232,
1312,
1328,
1328,
1344,
1296,
1216,
1280,
1264,365.330202784
1280,
1264,
1264,
1216,
1232,
1280,
1248,
1264,
1296,
1280,
1344,
1296,
1344,
1312,
1264,
1296,
1296,
1264,
1296,
1296,
1312,
1296,
1264,
1312,
1312,
1344,
1360,
1344,
1360,
1328,
1392,
1296,
1296,
1328,
1328,
1312,
1328,
1280,
1312,
1328,
1344,
1280,
1296,
1328,
1376,365.35994003
1408,
1296,
1328,
1360,
1360,
1328,
1312,
1296,
1280,
1264,
1264,
1312,
1312,
1280,
1360,
1328,
1312,
1280,
1344,
1360,
1280,
1264,
1296,
1248,
1264,
1216,
1232,
1248,
1312,
1232,365.389683328
1344,
1360,
1232,
1216,
1248,
1232,
1200,
1216,
1296,
1216,
1168,
1200,
1168,
1184,
1184,
1168,
1168,
1152,
1312,
1296,
1184,
1168,
1232,
1264,
1152,
1184,
1184,
1184,
1120,
1120,365.420082008
